Country,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia
Latvia,34275.49,3944.02,122153.11,16005.36,36379.68,2318.68,24722.83
Lebanon,172669.89,144967.34,204089.23,3510.31,101394.78,3894.72,25713.27
Lesotho,10776.26,10400.42,226211.51,7536.39,54746.22,2378.53,15262.64
Liberia,18523.37,4889.24,672822.09,10492.32,149397.15,3997.89,32920.95
Libya,277893.46,91711.46,1627693.50,6005.65,443490.27,10719.11,31650.56
Liechtenstein,0.84,0.11,8.55,1.19,1.85,0.15,3.96
Lithuania,42581.17,19315.65,131378.85,18245.13,43102.37,2718.03,46828.39
Luxembourg,15455.98,1128.14,24441.56,476.84,12050.20,276.29,5029.02
Macao,4711.01,5613.41,4679.13,370.99,4476.66,371.05,1327.63
Madagascar,54458.61,15984.55,1126998.25,80920.75,337454.95,23974.80,163204.30
Malawi,25832.74,7296.73,510124.27,56905.56,165127.51,16334.17,96500.61
Malaysia,896638.04,377090.03,3839309.87,41831.40,1555014.58,33978.93,284254.01
Maldives,17338.57,7105.54,138979.75,846.85,9264.25,589.52,621.75
Mali,26367.99,8676.96,440745.18,62915.21,140534.52,17405.80,149244.71
Malta,4458.21,811.57,7371.63,39.32,3433.25,60.11,1216.98
Marshall Islands,481.05,563.02,1225.07,67.89,242.76,36.94,111.64
Martinique,18680.49,2470.59,35875.37,420.83,8081.93,172.79,786.80
Mauritania,33339.11,10018.55,253418.56,9091.66,70411.62,4586.36,42362.46
Mauritius,31892.72,30116.91,55212.67,3277.74,17678.84,1582.19,6122.46
Mexico,1779399.44,2325587.27,7254316.59,145951.30,2170629.91,61754.90,889202.68
Moldova,32798.40,8234.32,85145.51,9024.62,41821.42,2349.89,32895.72
Mongolia,163035.88,221718.68,362243.94,10944.42,79307.28,5323.20,143243.42
Montenegro,7070.45,10971.08,26976.67,1861.86,6505.81,700.44,1227.68
Montserrat,456.73,86.71,746.77,6.92,157.64,4.59,124.81
Morocco,205937.84,151102.12,488212.62,59041.28,227385.92,37503.11,123502.70
Mozambique,129332.01,31971.84,2348196.23,26035.98,600151.87,11414.71,149313.70
Myanmar,573915.39,141558.14,3272663.92,164578.99,1050164.41,52538.17,458705.28
Namibia,20232.28,217892.20,142405.66,3148.34,52159.94,3142.28,33095.47
Nepal,203138.81,90236.91,2851207.29,129584.03,530001.53,41187.97,276662.61
Netherlands,197663.66,24180.51,526103.29,9284.43,220194.76,3359.06,160362.45
New Caledonia,147254.74,140361.77,87177.43,1621.47,27371.22,599.38,1921.76
New Zealand,162808.30,63073.39,644848.54,4835.32,178984.18,3999.20,195992.57
Nicaragua,64399.89,33062.75,665872.56,20412.48,130122.50,6128.73,71793.66
Niger,40524.94,8533.50,578135.11,35660.77,164390.49,10205.75,164338.20
Nigeria,682339.66,105259.55,24946347.52,665079.08,5496787.16,201050.26,1357920.88
Niue,48.85,59.90,91.02,2.91,16.90,2.33,23.02
North Korea,153609.96,175258.71,2410970.27,32453.30,233940.76,14436.75,114064.38
North Macedonia,23099.25,44495.83,53275.64,3492.18,27111.85,620.51,11036.32
Norway,150006.20,14761.17,419892.60,4852.70,149252.21,2097.89,37092.08
Oceania,1499842.91,1334114.59,2986883.13,47883.43,1139058.63,35003.42,825767.38
Oman,176449.39,54660.70,253506.87,4240.29,622386.36,14466.12,14753.92
Pakistan,1473037.90,1756767.62,13707423.75,510743.96,2863707.46,163271.70,2008592.01
